NAME,PREP TIME,SERVES,CALORIES,INGREDIENTS,MEASUREMENTS,DESCRIPTIONS,INSTRUCTIONS
Snickerdoodles,49mins,8,545,"['385 g (about 3 cups)', '6 g (about 1 ¼ tsp)', '2 g (about ⅜ tsp)', '225 g (about 1 cup)', '300 g (about 1 ½ cups)', '2 (about 100 g)', '5 g (about 1 ⅞ tsp)']","['385 g (about 3 cups)', '6 g (about 1 ¼ tsp)', '2 g (about ⅜ tsp)', '225 g (about 1 cup)', '300 g (about 1 ½ cups)', '2 (about 100 g)', '5 g (about 1 ⅞ tsp)']",The classic cinnamon-flavored sugar cookie. Chewy and almost cake-like in the middle with just the right amount of crunch around the edges.,"
Step preview


Add all purpose flour, baking powder and salt to a clean medium bowl
Whisk briefly until combined
Add unsalted butter and sugar to a clean large mixing bowl
Cream - approx 2 min
Add egg to the dough
Mix until combined
Transfer dry ingredients to dough
Mix until dough forms
Chill in fridge - 20 min
Pre-heat oven - 175°C
Line a clean baking sheet with parchment paper
Add sugar and ground cinnamon to a clean small bowl and mix
Form into balls
Roll dough in sugar mixture
Transfer content of large mixing bowl to baking sheet
Press gently
Bake until browned at edges - 14 min, 175°C
Transfer onto cooling rack

Open in app

"
Traditional Shortbread,1hr 15mins,12,137,"['120 g (about 1 cup)', '50 g (about ½ cup)', '½ tsp (about 3 g)', '115 g (about ½ cup)', '55 g (about ¼ cup)']","['120 g (about 1 cup)', '50 g (about ½ cup)', '½ tsp (about 3 g)', '115 g (about ½ cup)', '55 g (about ¼ cup)']","We like crunchy shortbread fingers in a towering stack. This recipe also works for a pizza-sized circle cut into wedges, or for neat little cut-out cookies.","
Step preview


Add all purpose flour, cornstarch and salt to a clean large mixing bowl
Whisk briefly and set aside
Add unsalted butter and granulated sugar to a clean large mixing bowl
Cream together until pale and light
Transfer dry ingredients to dough
Knead until dough forms
Chill - 30 min
Pre-heat a clean baking pan oven - 150°C
Line with parchment paper
Roll out until 1 cm thick
Slice
Prick lightly
Bake until golden brown - 25 min, 150°C
Transfer onto cooling rack

Open in app

"
Cacao Apricot Pumpkin Seed Bars,4hrs 20mins,16,259,"['2 ½ cups (about 408 g)', '1 cup (about 64.8 g)', '½ cup (about 64.8 g)', '¼ cup (about 35.4 g)', '¼ tsp (about 0.66 g)', '250 g (about 1 cup)', '½ cup (about 180 g)', '⅛ tsp (about 0.85 g)', 'as needed']","['2 ½ cups (about 408 g)', '1 cup (about 64.8 g)', '½ cup (about 64.8 g)', '¼ cup (about 35.4 g)', '¼ tsp (about 0.66 g)', '250 g (about 1 cup)', '½ cup (about 180 g)', '⅛ tsp (about 0.85 g)', 'as needed']","Perfect for a energizing snack on the go, or as a healthy alternative to sugary treats. These no-bake bars are quick to make and full of wholesome ingredients. (Vegan, Dairy-Free)","
Step preview


Line a clean baking pan with parchment paper
Add quick-cooking oats, pumpkin seeds, dried apricots, cacao nibs and ground cinnamon to a clean large mixing bowl
Mix together
Add almond butter, agave syrup and sea salt to a clean medium bowl
Mix together until combined
Press mixture into baking pan firmly
Sprinkle with cacao nibs
Refrigerate in fridge until firm - 1 hr
Cut

Open in app

"
Trail Mix Blondies,50mins,12,368,"['255 g (about 2 cups)', '5 g (about 1 tsp)', '¼ tsp (about 1.5 g)', '128 g (about ½ cup)', '172 g (about 1 cup)', '6 g (about 1 ⅜ tsp)', '2 (about 100 g)', '60 g (about ¾ cup)', '224 g (about 448)', '65 g (about ½ cup)', '88 g (about ¾ cup)']","['255 g (about 2 cups)', '5 g (about 1 tsp)', '¼ tsp (about 1.5 g)', '128 g (about ½ cup)', '172 g (about 1 cup)', '6 g (about 1 ⅜ tsp)', '2 (about 100 g)', '60 g (about ¾ cup)', '224 g (about 448)', '65 g (about ½ cup)', '88 g (about ¾ cup)']",These textured trail mix blondies are easy and versatile - use whatever combination of dried fruit and nuts you have in your pantry! Perfect for picnics!,"
Step preview


Pre-heat oven - 175°C
Line a clean muffin pan with paper muffin cups
Add all purpose flour, baking powder and salt to a clean medium bowl
Whisk briefly until blended
Add unsalted butter, light brown sugar and vanilla extract to a clean large mixing bowl
Cream together
Add egg to the batter
Mix until well combined
Transfer dry ingredients to batter
Mix until just combined
Add flaked coconut, chocolate chips, walnuts and dried cranberries to a clean small bowl
Transfer mixture to batter
Mix until combined
Spoon batter into muffin pan
Bake until golden brown - 25 min, 175°C
Let cool

Open in app

"
Lemon Madeleines,53mins,24,123,"['175 g (about ¾ cup)', '210 g (about 1 ½ cups)', '3 g (about ⅝ tsp)', '¼ tsp (about 1.5 g)', '3 (about 150 g)', '2 (about 40 g)', '150 g (about ¾ cup)', '4 g (about ⅞ tsp)', '1 (about 58 g)', 'as needed']","['175 g (about ¾ cup)', '210 g (about 1 ½ cups)', '3 g (about ⅝ tsp)', '¼ tsp (about 1.5 g)', '3 (about 150 g)', '2 (about 40 g)', '150 g (about ¾ cup)', '4 g (about ⅞ tsp)', '1 (about 58 g)', 'as needed']","Classic French lemon-scented madeleines.  Serve these plump, soft, bite-sized cakes warm from the oven.","
Step preview


Add unsalted butter to a clean small glass bowl
Heat until melted then set aside - Power Level 3
Add all purpose flour, baking powder and salt to a clean medium bowl
Whisk briefly until combined then set aside
Add egg, egg yolk and granulated sugar to a clean large mixing bowl
Whisk until pale and light - approx 5 min, medium speed
Add vanilla extract and lemon to the batter
Whisk until combined - medium speed
Transfer content of small glass bowl to batter and mix
Transfer dry ingredients to batter bit by bit while mixing
Chill in fridge - 30 min
Pre-heat oven - 200°C
Grease 2 clean madeleine pans generously
Spoon batter into 2 madeleine pans
Bake until golden brown - 8 min, 200°C
Transfer onto cooling rack
Dust with powdered sugar

Open in app

"
Sweet Potato and Coconut Soup,1hr 5mins,6,299,"['600 g (about 3 ¼)', '1 tbsp (about 13.65 g)', '10 g (about 1 ¾ tbsp)', '15 g (about 60)', 'as needed', '1 (about 140 g)', '4 (about 24 g)', '5 g (about 2 ⅛ tbsp)', '400 g (about 400)', '450 g (about 1 ¾ cups)', '2 (about 24 g)', 'as needed']","['600 g (about 3 ¼)', '1 tbsp (about 13.65 g)', '10 g (about 1 ¾ tbsp)', '15 g (about 60)', 'as needed', '1 (about 140 g)', '4 (about 24 g)', '5 g (about 2 ⅛ tbsp)', '400 g (about 400)', '450 g (about 1 ¾ cups)', '2 (about 24 g)', 'as needed']","A lightly spiced, sweet and comforting soup. Any winter squash can be used in place of the sweet potato.","
Step preview


Pre-heat oven - 170°C
Add sweet potato, olive oil, coriander seeds and cumin seeds to a clean medium bowl
Season with salt & pepper well
Toss until coated
Transfer potatoes to medium roasting dish
Roast until soft - 20 min
Add olive oil, onion, garlic clove and chili flakes to a clean saucepan
Sauté until soft and turn off heat - 15 min, medium heat
Transfer potatoes to soup
Replace on Drop Scale
Add coconut milk, vegetable stock and lemongrass stalk to the soup
Replace - medium heat
Simmer - 15 min
Blend with stick blender until smooth
Garnish with cilantro

Open in app

"
Beef and Guinness Stew,1hr 50mins,6,387,"['2 tbsp (about 27.6 g)', '1 kg (about 4 cups)', '1 (about 140 g)', '2 (about 100 g)', '2 (about 90 g)', '2 (about 12 g)', '150 ml (about 150 g)', '500 ml (about 500 g)', '1 (about 0.2 g)', '1 pinch (about 0.38 g)']","['2 tbsp (about 27.6 g)', '1 kg (about 4 cups)', '1 (about 140 g)', '2 (about 100 g)', '2 (about 90 g)', '2 (about 12 g)', '150 ml (about 150 g)', '500 ml (about 500 g)', '1 (about 0.2 g)', '1 pinch (about 0.38 g)']","This is a typically Irish, hearty meal, full of rich flavors brought out by the Guinness and stock. If there are any leftovers, it tastes even better the next day. Serve with some warm brown bread and butter!","
Step preview


Add canola oil to a clean Dutch oven
Sear beef shoulder the Dutch oven then set aside
Add onion, carrot and celery stalk to the stew
Sauté until tender
Add garlic clove to the stew
Transfer content of plate to stew
Add beef stock, stout, bay leaves and salt & pepper to the stew
Simmer gently - 1 hr 30 min
Stir briefly
Serve

Open in app

"
Oven-Baked Shallot and Mushroom Risotto,1hr 25mins,4,203,"['300 g (about 7 ¼)', '2 tbsp (about 27.3 g)', '5 g (about 2 ⅛ tbsp)', '1 pinch (about 0.41 g)', '1 pinch (about 0.13 g)', '1 (about 6 g)', '300 g (about 2)', '1 tbsp (about 16.5 g)', '250 g (about 1 ¼ cups)', '1 kg (about 4 ¼ cups)']","['300 g (about 7 ¼)', '2 tbsp (about 27.3 g)', '5 g (about 2 ⅛ tbsp)', '1 pinch (about 0.41 g)', '1 pinch (about 0.13 g)', '1 (about 6 g)', '300 g (about 2)', '1 tbsp (about 16.5 g)', '250 g (about 1 ¼ cups)', '1 kg (about 4 ¼ cups)']","We love this lighter, healthier, and less labor-intensive risotto.  Believe it or not, there's no butter or cheese, making it vegan-friendly and still just as comforting and flavorful as more traditional versions.  For a variation, try using different seasonal vegetables and herbs.","
Step preview


Pre-heat oven - 180°C
Add shallot, olive oil, fresh thyme, sea salt and black pepper to a clean medium roasting dish
Mix well
Roast - 30 min, 82°C
Add garlic clove, portobello mushroom and balsamic vinegar to a clean medium bowl
Mix mixture into medium roasting dish
Bake - 15 min, 180°C
Add risotto rice to a clean medium bowl
Mix rice into medium roasting dish
Add vegetable stock to a clean medium bowl
Stir liquid into medium roasting dish carefully
Bake and mix - 15 min, 180°C
Bake until thickened - 15 min, 180°C
Season to taste

Open in app

"
Slow Cooked Beef Ragu,3hrs 50mins,8,401,"['1 kg (about 4 cups)', '2 (about 280 g)', '4 (about 200 g)', '3 (about 135 g)', '3 (about 18 g)', '3 tbsp (about 24.3 g)', '½ tsp (about 3 g)', '½ tsp (about 1.07 g)', '3 tbsp (about 41.4 g)', '2 tbsp (about 33 g)', '300 ml (about 300 g)', '800 g (about 3 ½ cups)', '600 ml (about 600 g)', '1 tsp (about 1.85 g)', 'as needed', '50 g (about ½ cup)', 'as needed']","['1 kg (about 4 cups)', '2 (about 280 g)', '4 (about 200 g)', '3 (about 135 g)', '3 (about 18 g)', '3 tbsp (about 24.3 g)', '½ tsp (about 3 g)', '½ tsp (about 1.07 g)', '3 tbsp (about 41.4 g)', '2 tbsp (about 33 g)', '300 ml (about 300 g)', '800 g (about 3 ½ cups)', '600 ml (about 600 g)', '1 tsp (about 1.85 g)', 'as needed', '50 g (about ½ cup)', 'as needed']","Fall apart beef, cooked slowly in the oven in a rich ragu sauce. Everyone will love this comforting dinner!","
Step preview


Pre-heat oven - 160°C
Add beef shoulder, all purpose flour, salt and black pepper to a clean large mixing bowl
Toss until coated
Add vegetable oil to a clean Dutch oven
Heat - medium heat
Transfer beef to Dutch oven
Sauté until browned
Add onion to the Dutch oven
Cook until softened - approx 3 min
Add carrot, celery stalk and garlic clove to the Dutch oven
Cook while stirring occasionally - 2 min
Add tomato purée to the Dutch oven
Mix until combined
Add red wine to the Dutch oven
Simmer - approx 5 min, medium heat
Add canned chopped tomatoes, beef stock and dried thyme to the Dutch oven
Stir until combined
Heat until boiling and cover
Cook until tender - 3 hr 30 min, 160°C
Prepare pasta with the Dutch oven
Serve
Sprinkle with cheddar cheese
Garnish with fresh parsley

Open in app

"
Vegetarian Black Bean Chili,45mins,4,459,"['2 cups (about 326.4 g)', '2 (about 300 g)', '6 (about 36 g)', '¼ cup (about 54.6 g)', '2 tbsp (about 15.9 g)', '2 tsp (about 1.4 g)', '1 ½ tsp (about 3.15 g)', '½ tsp (about 1.07 g)', '3 (about 1.2 kg)', '16 fl oz (about 460.8 g)', 'as needed', 'as needed']","['2 cups (about 326.4 g)', '2 (about 300 g)', '6 (about 36 g)', '¼ cup (about 54.6 g)', '2 tbsp (about 15.9 g)', '2 tsp (about 1.4 g)', '1 ½ tsp (about 3.15 g)', '½ tsp (about 1.07 g)', '3 (about 1.2 kg)', '16 fl oz (about 460.8 g)', 'as needed', 'as needed']","Despite being a vegetarian chili, you won’t miss the meat here. The accompaniments are what make this chili that much better, so definitely go with the sprinkling of scallions, cilantro, and a few avocado slices. The juxtaposition of the warm chili and the cold sour cream is also lovely, so don’t skip out on that.
If you’re a bit apprehensive about heat, leave out the cayenne pepper and halve the amount of chili powder called for in the recipe. Another route is to use 2 tablespoons of chipotle chili powder instead of the regular chili powder.
About 3 tablespoons of your favorite smoky Mexican chipotle seasoning would also work as a great alternative to the cumin, cayenne pepper, and chili powder called for in the recipe.","
Step preview


Add olive oil to a clean large saucepan
Heat - medium heat
Add onion, red bell pepper and garlic clove to the large saucepan
Sauté until softened - approx 10 min
Add chili powder, dried oregano, ground cumin and cayenne pepper to the large saucepan
Stir - approx 2 min
Add canned black beans and tomato sauce to the large saucepan
Cook until just boiling then reduce heat
Simmer until thickened - 15 min, low heat
Serve
Garnish with cilantro and sour cream

Open in app

"
